City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
193,Sao Felix Do Xingu,BR,-6.6447,-51.995,70.95,98,83,1.79,broken clouds
194,Marienburg,PL,54.0359,19.0266,40.95,81,90,7.72,overcast clouds
195,Omsukchan,RU,62.5333,155.8,-9.17,76,10,2.1,clear sky
196,Iguape,BR,-24.7081,-47.5553,75.96,89,79,11.05,broken clouds
197,Olga,RU,43.7444,135.2892,21.24,42,3,11.16,clear sky
198,Coahuayana,MX,18.7333,-103.6833,68.7,73,58,3.98,broken clouds
199,Salalah,OM,17.0151,54.0924,73.49,25,0,16.11,clear sky
200,Chokurdakh,RU,70.6333,147.9167,-40.05,99,83,3.74,broken clouds
201,Awjilah,LY,29.1081,21.2869,54.32,35,1,7.43,clear sky
202,Cap Malheureux,MU,-19.9842,57.6142,80.47,78,94,4.0,overcast clouds
203,Beaverton,US,45.4871,-122.8037,48.58,85,0,1.01,clear sky
204,Ossora,RU,59.2353,163.0719,10.53,91,100,9.93,overcast clouds
205,Luckenwalde,DE,52.0833,13.1667,38.52,86,81,15.99,broken clouds
206,Taoudenni,ML,22.6783,-3.9836,62.96,15,35,9.62,scattered clouds
207,Caravelas,BR,-17.7125,-39.2481,74.91,90,42,5.1,scattered clouds
208,Agirish,RU,61.9247,63.0231,6.19,96,100,6.17,overcast clouds
209,Nikolskoye,RU,59.7035,30.7861,36.88,97,100,7.16,light snow
210,Vitim,RU,59.4511,112.5578,11.73,87,100,4.03,light snow
211,Clyde River,CA,70.4692,-68.5914,-32.57,68,0,5.75,clear sky
212,Dale,US,38.1689,-86.99,31.06,86,0,3.44,clear sky
213,Canico,PT,32.6333,-16.85,63.23,77,40,1.01,scattered clouds
214,Strezhevoy,RU,60.7333,77.5889,-2.02,96,8,6.87,clear sky
215,Bahia De Caraquez,EC,-0.6,-80.4167,77.18,87,98,3.8,overcast clouds
216,Tasiilaq,GL,65.6145,-37.6368,21.36,56,100,60.87,light snow
217,Ostroda,PL,53.6967,19.9649,39.74,73,94,9.22,overcast clouds
218,Sao Jose Da Coroa Grande,BR,-8.8978,-35.1478,79.3,71,70,4.54,broken clouds
219,Puerto Escondido,MX,15.85,-97.0667,75.33,79,0,3.98,clear sky
220,Parainen,FI,60.3067,22.301,29.89,99,94,1.39,overcast clouds
221,Changji,CN,44.0167,87.3167,11.19,72,8,4.47,clear sky
222,Ishigaki,JP,24.3448,124.1572,69.93,73,75,17.27,broken clouds
223,Pipri,IN,19.8,75.5333,77.56,24,72,2.01,broken clouds
224,Sitka,US,57.0531,-135.33,44.49,76,100,13.8,overcast clouds
225,Killorglin,IE,52.1,-9.7833,52.83,98,100,5.88,overcast clouds
226,Viterbo,IT,42.4167,12.0833,50.22,93,91,11.1,overcast clouds
227,Alugan,PH,12.2188,125.4808,80.53,81,73,16.44,broken clouds
228,Fairbanks,US,64.8378,-147.7164,-5.91,77,75,0.0,broken clouds
229,Port Shepstone,ZA,-30.7414,30.455,71.11,82,0,6.38,clear sky
230,Makrana,IN,27.05,74.7167,67.51,39,2,5.03,clear sky
231,Birjand,IR,32.8663,59.2211,37.87,48,0,4.61,clear sky
232,Barcelona,ES,41.3888,2.159,48.47,71,20,1.01,few clouds
233,Asau,RO,46.4333,26.4,33.76,68,100,7.78,overcast clouds
234,Bria,CF,6.5423,21.9863,61.32,23,96,5.39,overcast clouds
235,Grindavik,IS,63.8424,-22.4338,34.27,100,100,61.0,sleet
236,Dingle,PH,10.9995,122.6711,84.56,62,44,15.05,scattered clouds
237,Luderitz,NA,-26.6481,15.1594,68.63,74,61,2.55,broken clouds
238,Oleksandrivka,UA,48.9634,32.2349,31.39,85,91,13.44,overcast clouds
239,Juegang,CN,32.3174,121.1855,39.9,99,100,12.06,light rain
240,Longyearbyen,SJ,78.2186,15.6401,17.44,73,0,4.61,clear sky
241,Pizarro,CO,4.9533,-77.366,76.1,85,50,1.79,light rain
242,Labuhan,ID,-6.8844,112.2051,79.79,85,100,17.78,moderate rain
243,Luang Prabang,LA,19.8856,102.1347,71.56,78,20,2.3,few clouds
244,Bonthe,SL,7.5264,-12.505,76.12,91,64,1.19,broken clouds
245,Velesin,CZ,48.8295,14.4625,37.29,86,99,18.21,light rain
246,Ambon,ID,-3.6954,128.1814,89.74,66,40,6.91,scattered clouds
247,Tuy Hoa,VN,13.0833,109.3,78.6,79,63,8.19,broken clouds
248,Vostok,RU,46.4856,135.8833,7.12,82,99,6.78,overcast clouds
249,Okha,RU,53.5739,142.9478,6.15,94,100,22.59,snow
250,Ponta Delgada,PT,37.7333,-25.6667,59.72,77,75,12.66,broken clouds
251,Moerai,PF,-22.4333,-151.3333,79.84,78,87,17.31,light rain
252,Matagami,CA,49.7502,-77.6328,6.91,85,100,2.3,overcast clouds
